Dayahead Market MCPs.

01/01/2012,,All Hours-Ending are Eastern Standard Time (EST)

,,MCP Type, HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
MPW.UNIT_8,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
MPW.UNIT_8A,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
MPW.UNIT_9,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
NIPS.DR.GOSHHC,Zone 1,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
NIPS.DR.HORSE,Zone 1,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
NIPS.DR.MITTAL,Zone 1,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
NIPS.DR.PACTIV,Zone 1,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
NIPS.DR.PRAXAR,Zone 1,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
NIPS.DR.USG,Zone 1,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
NIPS.DR.WEILMC,Zone 1,DEMREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
NSP.BAT.SER,Zone 1,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.95,5.54,6.96,6.9,9.68,6.87
ALTW.AMESWIND,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.BRLGTN1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.BRLGTN2,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.BRLGTN3,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.BRLGTN4,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.BRLGTN5,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.CC.SLAK1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.CC.SLAK2,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.GRCT1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.GRCT2,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.MTOWNCT1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.MTOWNCT2,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.MTOWNCT3,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.NCENT1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.NCENT2,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.OTTUMW1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.ROQUETTE1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.SLAK_1N,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.SLAK_2N,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.SLAK_31,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.SLAK_32,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.STORYALTM,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.STORYBUCK,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.STORYCOII,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.STORYHEPM,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.STORYWVPA,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.SUTH1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.SUTH3,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.WSEC3,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.WSEC4,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
ALTW.W_JEFERSN,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.AMS_ASTOR,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.ANI_AANIT,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.BALDWI51,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.BALDWI52,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.BALDWI53,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.CC.GDTWR1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.CC.GDTWR2,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.GDTOWER1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.GDTOWER2,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.GDTOWER3,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.GDTOWER4,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.GRJ_AGRJ_,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.HEN_AMT_P,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.PSG1.IMEA,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.PSG1.LGEP,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.PSG1.SIPC,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.PSG2.IMEA,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.PSG2.LGEP,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.PSG2.SIPC,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.PSGC1.PPI,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.PSGC1.TEA,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.PSGC2.PPI,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.PSGC2.TEA,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.STALLIG-4,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.SWCC.PLUM,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.TBCRSTAT,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.WOODRW84,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMIL.WOODRW85,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.AUDRN11,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.AUDRN22,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.AUDRN33,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.AUDRN44,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.AUDRN55,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.AUDRN66,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.AUDRN77,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.AUDRN88,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.CALLAWAY1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.CC.KEOKUK,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.CC.OSAGE,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.FGRDCTG1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.HDBDCTG1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.KEOKUK1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.KEOKUK10,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.KEOKUK11,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.KEOKUK12,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.KEOKUK13,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.KEOKUK14,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.KEOKUK15,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.KEOKUK2,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.KEOKUK3,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.KEOKUK4,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.KEOKUK5,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.KEOKUK6,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.KEOKUK7,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.KEOKUK8,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.KEOKUK9,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.KIRK2CTG1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.LABADIE1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.LABADIE2,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.LABADIE3,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.LABADIE4,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.MERAMEC1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.MERAMEC2,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.MERAMEC3,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.MERAMEC4,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.MERAMECT1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.MERAMECT2,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.MEXCTG1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.MOBCTG1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
AMMO.MORUCTG1,Zone 2,GENREGMCP,13.46,13.12,15.59,18.06,17.64,17.64,14.24,13.37,9.99,6.12,7.04,7.14,6.78,6.45,6.9,5.81,6.03,8.8,7.89,5.54,6.96,6.9,9.68,6.87
